,comment,username,time,like
15,俄乌那边没人关注了。。。,囸苯沉没,2023-10-23 21:36,82.0
16,别扯西奈半岛了，根本不可能的事情。西奈半岛就是个沙漠，以色列就是打下来了也屁用没有。既不会有经济效益也，也不能增加以色列核心地区的战略纵深。而苏伊士运河除非把埃及灭了不然永远不可能被以色列使用。以色列人就是纯用大脚趾思考也不会做打埃及这种无用功。以色列这把顶破天也就是彻底把加沙和西岸的巴勒斯坦驱逐到埃及和约旦。虽然也会被骂到死，但至少说确实一定程度上改善了安全形式,平成恋歌,2023-10-24,19.0
17,西奈半岛？在右翼利库德的犹太复国主义版图里，西起尼罗河，东至幼发拉底河的区域，都属于犹太的应许之地。西奈半岛地理位置固然重要，但比起富饶的尼罗河三角洲，还差的远。,风羽飘翎,2023-10-24,4.0
18,假如以色列拿下全部西奈半岛，但战争还没结束，且埃及也参战，目标是夺回西奈半岛。会不会影响苏伊士运河的运作啊,沐雨天寒,2023-10-23 21:32,16.0
19,埃及还是自身不行啊，这些年也没发展起来，不然协议有什么用？就找个借口，比如害怕以色列进入国土，或者救助难民，再不济就防止hms进入埃及，不就把部队调到前线了。说到底还是实力不行，不敢下场给以色列压力。,是老实人不是老司机,2023-10-24,11.0
20,"现在杰森的评论区，像极了俄乌赫尔松撤退和红利曼撤退的时候。有玩梗的，有说杰森已经认识到错误改正了的，还有斩钉截铁就说杰森屁股歪的，还有说杰森认错就是因为商单的不是真心认错。

那么杰森到底是怎样一个人呢？我觉得不仅要结合现在的视频来评价他，也要结合以前，更要结合未来的视频。",qemu_mipsel,2023-10-23 22:43,386.0
21,天启四骑士已经全出来了！瘟疫 战争 饥荒 死亡  百年未有之大变局,饭后消息,2023-10-23 20:44,775.0
22,埃及：我已经准备好，以西奈半岛土地换和平了。,Red-Planet,2023-10-23 21:39,178.0
23,"就杰森的视频看下来，我个人认为，以色列在表面上确实是对周边的国土有着极大的想法。但是实操起来，真不好说。

他可以打，但是打不打的下来还是个问题。就加沙的情况来看一旦拖入巷战，就以军步兵目前的战斗力来说，不能说没有胜算，只能说真的很难。2000年后，以色列的军改导致空军远强于其他兵种。
所以，他们表面上说是一回事，做其实又是另一回事。一旦哈马斯成功抵御住一次攻击，后续会怎么样，挨打的是谁，我都不敢想",深圳科技哇,2023-10-24,223.0
24,俄乌呢？西线无战事？,肥龙过海,2023-10-23 20:52,29.0
25,埃及：脚盆，它的下克上，是不是你教的啊,昵称很难找啊,2023-10-23 20:46,11.0
26,1分45秒那块是咋回事，视频剪去了么,Reachhalo,2023-10-23 20:42,30.0
27,"关于以军的军备情况，飞羽社的信息和推断跟这里有较大出入。
按照飞羽社的推断，以军月内的地面进攻能有像样的5-6个满编旅（2-3万人）就不错了。并且以军并没有军改至合成化旅指挥，仍是陆海空各自指挥，还分四个战区司令部…预备役能拉个50万人出来但军备极其缺乏，平均三人分一条枪，每枪只有10发弹药（全部发完不留的情况下）。按照这个军备和指挥情况，别说向北与真主党干大活，能不能以较小的损失推平加沙都是问题…
这个只是飞羽社的信息和推断，不代表一定对。但是这里看起来全无军备问题到处都是可以调度的旅级单位，真相究竟为",金翼之牙丶,2023-10-24,207.0
28,塔利班抗以援巴，不知道是哪个将军,阳凪_,2023-10-23 20:41,331.0
29,最近这几年都不太和平啊,东海-帝王,2023-10-23 20:57,30.0
30,无人机真的改变了好多，让这些小组织都有战斗力了,吐槽站upup,2023-10-23 21:12,214.0
31,塔利班：行政管理太无聊了，还是做点熟悉且热爱的事情吧,DaierG戴尔基,2023-10-23 20:40,4148.0
32,我不是说降智，现在已经是魔幻现实年代了，只比阿里布达年代稍微好一丢丢,魔神魔神魔神魔神魔神,2023-10-23 20:46,155.0
33,杰森是不是把俄乌给忘了…俄乌那边这周没什么战况吗,校草唰唰,2023-10-23 21:02,21.0
34,飞羽社的新视频好好看看吧,一只想独立的雪雪,2023-10-23 20:46,476.0
35,俄乌那边没人关注了。。。,囸苯沉没,2023-10-23 21:36,82.0
36,别扯西奈半岛了，根本不可能的事情。西奈半岛就是个沙漠，以色列就是打下来了也屁用没有。既不会有经济效益也，也不能增加以色列核心地区的战略纵深。而苏伊士运河除非把埃及灭了不然永远不可能被以色列使用。以色列人就是纯用大脚趾思考也不会做打埃及这种无用功。以色列这把顶破天也就是彻底把加沙和西岸的巴勒斯坦驱逐到埃及和约旦。虽然也会被骂到死，但至少说确实一定程度上改善了安全形式,平成恋歌,2023-10-24,19.0
37,西奈半岛？在右翼利库德的犹太复国主义版图里，西起尼罗河，东至幼发拉底河的区域，都属于犹太的应许之地。西奈半岛地理位置固然重要，但比起富饶的尼罗河三角洲，还差的远。,风羽飘翎,2023-10-24,4.0
38,假如以色列拿下全部西奈半岛，但战争还没结束，且埃及也参战，目标是夺回西奈半岛。会不会影响苏伊士运河的运作啊,沐雨天寒,2023-10-23 21:32,16.0
39,埃及还是自身不行啊，这些年也没发展起来，不然协议有什么用？就找个借口，比如害怕以色列进入国土，或者救助难民，再不济就防止hms进入埃及，不就把部队调到前线了。说到底还是实力不行，不敢下场给以色列压力。,是老实人不是老司机,2023-10-24,11.0
40,"就杰森的视频看下来，我个人认为，以色列在表面上确实是对周边的国土有着极大的想法。但是实操起来，真不好说。

他可以打，但是打不打的下来还是个问题。就加沙的情况来看一旦拖入巷战，就以军步兵目前的战斗力来说，不能说没有胜算，只能说真的很难。2000年后，以色列的军改导致空军远强于其他兵种。
所以，他们表面上说是一回事，做其实又是另一回事。一旦哈马斯成功抵御住一次攻击，后续会怎么样，挨打的是谁，我都不敢想",二胡Athurne,2023-10-23 22:25,39.0
41,塔利班：行政管理太无聊了，还是做点熟悉且热爱的事情吧,上海数码有限公司,7分钟前,199.0
42,"笔记
up主说着了！",zydhcucu,2023-10-24,1.0
43,加沙的武器要么是埃及给的，要么是以色列给的。如果以色列给的，故事比较精彩。,隔壁老狼浪费了六个币,2023-10-24,1.0
46,"圣经:我的以色列朋友
“我个人坚定支持巴勒斯坦人民的解放事业，但我不支持对平民的恐怖袭击。

我不支持以色列政府不断扩张定居点，把巴勒斯坦人逼进死胡同，但我支持以色列作为一个独立国家而存在。”",小手不干净_,2023-10-24,13.0
47,这一期没有以色列朋友的环节了吧,传说中D胖子,2023-10-24,10.0
48,我军是不是已经没有师级单位了，已经整编成合成旅了是吗,掀桌子不玩了,2023-10-23 21:02,9.0
52,俄乌现在怎么样？双方原地细微改善战术位置？,迪普达克凡特西,2023-10-24,3.0
53,看看飞羽社，就以色列那点部队，打加沙都难,LIZZ--,2023-10-24,4.0
55,杰哥，给个建议，能不能把实控线画的粗一点，或者颜色差更大一点，俄乌的沙盘看着就很明白，巴以的沙盘就很难分清楚哪个地盘在谁手里,伏嘶洛哒,2023-10-23 21:29,7.0
56,看了几个UP的分析，总结就是行就西奈半岛，不行就真主党。目前情况是不行✋！有几个方面原因，以色列民众，联合政府，军方，以及抵抗之弧，以色列民众要求快速恢复生产生活，不论什么代价。军方和联合政府属于是来背锅的（军方背阿克萨洪水行动的锅，联合政府背后续行动不利的锅）。以色列今天的炮击，表面上看可以理解成，试探埃及下限，实际上有可能和前几天炸医院炸学校等袭击一样，故意为之，让内胡的政府面临舆论压力，从而失去主导，让军方能控制局面（属于是内斗），毕竟现在内部已经在甩锅和内斗了。最后就是抵抗之弧，以色列有点走夜路吹,市丸寅,2023-10-23 22:18,10.0
58,看看欧美战史，我反而觉得没有特殊安排，驻守西奈的欧美部队会反击入侵的以军。底层军人的情感还是很朴素的，也更有原则,全平台阿鬼,2023-10-23 21:51,7.0
59,多国观察部队是联合国下属的吗？如果是联合国下属的话，那里面肯定有中国军官呀，,FE电动方程弋,2023-10-23 23:14,5.0
60,"置顶希望大家理解：
【解释1】视频是入门级的，避开了很多内容。凡事都有开头，都要从基础开始讲
【解释2】视频是给围观群众 了解一些基础事件，什么时候发生了什么。内容不是煽动性地，不是要拉观众一定要站哪一边，所以我采取了两个视角的阐述
【解释3】如果单一视角描述事件的话，不可避免地要代入一方的视角。比如说，到底是“回家”还是“侵略”呢？到底选哪个词。我不是以色列人，我也不是巴勒斯坦人。为了最小化主观性，所以，我才选择两个视角都讲，让大家做判断 呱呱呱",青蛙刀圣_1993,2021-06-17 00:23,4331.0
61,"以前：为了讲《达芬奇密码》，我们把三教极简史过一下
后来：为了讲《天国王朝》，我们把十字军极简史过一下
现在：不演了，我不做影视区up主了，我们把巴以冲突过一下",zdfser,2021-06-16 19:39,6779.0
62,建议以色列和巴勒斯坦联合，把英国打了，瓜分带英,Nibelungen-Alice,2021-06-16 20:10,4296.0
63,这种感觉就像是，父母亚伯拉罕，生了俩孩子一个叫犹太，一个叫阿拉伯，后来把犹太丢了。阿拉伯生了仨孩子其中一个被邻居打死了。孩子争爷爷的家产突然犹太的孩子回来了告诉他们几个说他也应该有一份，阿拉伯的孩子再怎么争也是亲兄弟也比表兄弟亲，于是都跟他对着干。这要是电视剧能写四十多集,不会抓鱼的哈士奇,2021-06-17 00:56,2884.0
64,"这位影视区的up主真是让人叹为观止，必须点赞。
个人有几处更正和补充一下：
1、犹大和犹太的中文分别出现在圣经旧约（也就是犹太教的经典：塔纳赫）和新约，旧约是由希伯来文和亚兰文写成的，中文在翻译的时候就把יְהוּדָה 翻成了犹大，而新约是由希腊文写成的，中文翻译的时候就把Ijoudaiva翻成了犹太，其实一个词。
2、以色列分裂成南北两个王国，其中南国不单是有犹大支派，另外还有便雅闵支派（就是扫罗王所在的支派），因为便雅闵支派人少，所以就都称呼为犹大地。
3、犹太人的救世主在塔纳赫上面有明确的记载，现",Enami的亮光,2021-06-16 21:23,2548.0
65,摩西十诫，第十条：不可贪图他人的东西,四星芒,2021-06-17 11:19,2087.0
66,up不如以后就改行说说西方历史吧，这个领域好像做的人不多啊，刚好对大伙来说，还都挺陌生的,夏商时明月,2021-06-16 18:13,985.0
67,耶路撒冷我熟，进去先是船屋，然后上楼梯，到入口厅，进礼堂，过主塔，最后到邓布利多办公室,扫地科的临时工,2021-06-16 18:04,1199.0
68,最抽象的莫过于此视频发布两年之后又上了首页和1000＋同时观看,大嘤外籍空天方面军,2023-10-08 14:25,623.0
69,简单点说，英国不是东西,seles,2021-06-16 19:01,1609.0
70,课代表总结：神骗人,這個怎麽念,2021-06-17 03:41,780.0
71,这玩意真的难，公说公有理，婆说婆有理，所以现在拳头大的有理！,咖喱土豆の,2021-06-16 19:53,514.0
72,笑死了，弹幕有些人是不是以为二战死的只有犹太人啊？,黑咖啡森林,2021-06-17 11:33,1192.0
73,至少500位自媒体都是在你这做的功课，我坚信,换个地方东山再起,2023-10-09 13:29,239.0
74,谢谢，已经睡着了,鹿灯小课堂,2021-06-16 18:02,329.0
75,所以是谁最开始编了塔纳赫，没有这本书是不是就 少了很多事,诗简熙,2021-06-17 11:03,315.0
76,哦，原来魔戒历史要追溯到巴以冲突，认真听,POP子和PIPI美无敌,2021-06-16 18:01,282.0
77,说一句题外话，天堂和上帝天使这三个词，中国一直都有很早就有，但是现在好像专指外国的东西了，我很不明白，这是文化入侵还是什么呢？希望大家给个解答，我看个西游记解说，上天堂，很多人再刷天堂是国外的。。。还有天使，明明就是天堂的使者。。。很多人还刷弹幕说UP主错了，天使是外国的，中国没有这个东西？我当场问号脸,夏夏猫,2021-06-17 03:17,467.0
78,"阿拉伯：关于我远房亲戚在我家生了个孩子就要在我家定居这件事
以色列：关于我外出务工回家看到祖宅被亲戚占领这件事",天上滴白云哟,2021-06-16 20:07,519.0
79,本来一本神话小说塔纳赫，二创出来圣经和古兰经，每种影响力都还挺大，不得不说犹太人确实挺厉害的,梦幻麻婆豆腐,2021-06-17 10:45,211.0
80,"置顶希望大家理解：
【解释1】视频是入门级的，避开了很多内容。凡事都有开头，都要从基础开始讲
【解释2】视频是给围观群众 了解一些基础事件，什么时候发生了什么。内容不是煽动性地，不是要拉观众一定要站哪一边，所以我采取了两个视角的阐述
【解释3】如果单一视角描述事件的话，不可避免地要代入一方的视角。比如说，到底是“回家”还是“侵略”呢？到底选哪个词。我不是以色列人，我也不是巴勒斯坦人。为了最小化主观性，所以，我才选择两个视角都讲，让大家做判断 呱呱呱",青蛙刀圣_1993,2021-06-17 00:23,4331.0
81,"以前：为了讲《达芬奇密码》，我们把三教极简史过一下
后来：为了讲《天国王朝》，我们把十字军极简史过一下
现在：不演了，我不做影视区up主了，我们把巴以冲突过一下",zdfser,2021-06-16 19:39,6779.0
82,建议以色列和巴勒斯坦联合，把英国打了，瓜分带英,Nibelungen-Alice,2021-06-16 20:10,4296.0
83,这种感觉就像是，父母亚伯拉罕，生了俩孩子一个叫犹太，一个叫阿拉伯，后来把犹太丢了。阿拉伯生了仨孩子其中一个被邻居打死了。孩子争爷爷的家产突然犹太的孩子回来了告诉他们几个说他也应该有一份，阿拉伯的孩子再怎么争也是亲兄弟也比表兄弟亲，于是都跟他对着干。这要是电视剧能写四十多集,不会抓鱼的哈士奇,2021-06-17 00:56,2884.0
84,"这位影视区的up主真是让人叹为观止，必须点赞。
个人有几处更正和补充一下：
1、犹大和犹太的中文分别出现在圣经旧约（也就是犹太教的经典：塔纳赫）和新约，旧约是由希伯来文和亚兰文写成的，中文在翻译的时候就把יְהוּדָה 翻成了犹大，而新约是由希腊文写成的，中文翻译的时候就把Ijoudaiva翻成了犹太，其实一个词。
2、以色列分裂成南北两个王国，其中南国不单是有犹大支派，另外还有便雅闵支派（就是扫罗王所在的支派），因为便雅闵支派人少，所以就都称呼为犹大地。
3、犹太人的救世主在塔纳赫上面有明确的记载，现",Enami的亮光,2021-06-16 21:23,2548.0
85,摩西十诫，第十条：不可贪图他人的东西,四星芒,2021-06-17 11:19,2087.0
86,up不如以后就改行说说西方历史吧，这个领域好像做的人不多啊，刚好对大伙来说，还都挺陌生的,夏商时明月,2021-06-16 18:13,985.0
87,耶路撒冷我熟，进去先是船屋，然后上楼梯，到入口厅，进礼堂，过主塔，最后到邓布利多办公室,扫地科的临时工,2021-06-16 18:04,1199.0
88,最抽象的莫过于此视频发布两年之后又上了首页和1000＋同时观看,大嘤外籍空天方面军,2023-10-08 14:25,623.0
89,简单点说，英国不是东西,seles,2021-06-16 19:01,1609.0
90,课代表总结：神骗人,這個怎麽念,2021-06-17 03:41,780.0
91,这玩意真的难，公说公有理，婆说婆有理，所以现在拳头大的有理！,咖喱土豆の,2021-06-16 19:53,514.0
92,笑死了，弹幕有些人是不是以为二战死的只有犹太人啊？,黑咖啡森林,2021-06-17 11:33,1192.0
93,至少500位自媒体都是在你这做的功课，我坚信,换个地方东山再起,2023-10-09 13:29,239.0
94,谢谢，已经睡着了,鹿灯小课堂,2021-06-16 18:02,329.0
95,所以是谁最开始编了塔纳赫，没有这本书是不是就 少了很多事,诗简熙,2021-06-17 11:03,315.0
96,哦，原来魔戒历史要追溯到巴以冲突，认真听,POP子和PIPI美无敌,2021-06-16 18:01,282.0
97,说一句题外话，天堂和上帝天使这三个词，中国一直都有很早就有，但是现在好像专指外国的东西了，我很不明白，这是文化入侵还是什么呢？希望大家给个解答，我看个西游记解说，上天堂，很多人再刷天堂是国外的。。。还有天使，明明就是天堂的使者。。。很多人还刷弹幕说UP主错了，天使是外国的，中国没有这个东西？我当场问号脸,夏夏猫,2021-06-17 03:17,467.0
98,"阿拉伯：关于我远房亲戚在我家生了个孩子就要在我家定居这件事
以色列：关于我外出务工回家看到祖宅被亲戚占领这件事",天上滴白云哟,2021-06-16 20:07,519.0
99,本来一本神话小说塔纳赫，二创出来圣经和古兰经，每种影响力都还挺大，不得不说犹太人确实挺厉害的,梦幻麻婆豆腐,2021-06-17 10:45,211.0
100,"弹幕里可怜犹太人的，只想说：这个种族经历过灾难，有让人同情的过往。
但你们打开新闻看看近两年巴以冲突到底是谁在搞事情？？？
犹太人可不是什么善良的名族",Linkmill,2021-06-18 08:41,487.0
101,"如果神愿意阻止邪恶却不能阻止邪恶，那么祂就不是全能的；如果神能阻止邪恶却不阻止邪恶，那么祂就不是至善的；如果神既能阻止邪恶又愿意阻止邪恶，那么世间邪恶何来；如果神不愿意也不能阻止邪恶，那么祂何配为神？

           ——伊比鸠鲁",好梦难成愁酒易醒,2021-06-25 21:53,107.0
102,不得不说，相比历史区那些个假意科普实则疯犹精的up，呱还是非常客观的,keyfannt,2021-06-16 21:25,84.0
103,省流：以色列人一直流浪，想占有巴勒斯坦 并说有历史证明这就是自己家 拿出了自己神话故事当证明  巴勒斯坦：我可去泥煤的吧 就打起来了,小豆儿der,2023-10-08 07:37,138.0
104,"从油管的三教极简史入坑的，感谢up主的背景知识解说，和女儿一起看了45分钟，期待下集更新
有机会一战二战的坑都要填上啊",wangtu,2021-06-16 19:29,63.0
105,up还记得有说要做《天国王朝》视频的吗,阿勒忒娅,2021-06-16 18:04,104.0
106,"补充几个有趣的知识点，算是对up内容的补充，同时不保证精准程度（你说我错，就是你对，绝不反驳），权当一乐。
亚伯拉罕根据圣经中所记载的症状来看，实际上应当是一定程度的癔症患者。所以最开始的上帝，可能是一个癔症患者结合古两河流域神话传说所创造的形象，是一个精神病人的疯狂的幻想。
亚伯拉罕率领部族离开两河流域，来到上帝应许之地，更可能是因为亚伯拉罕的癔症，导致其部落的牧场和牛羊被其他部落侵吞。亚伯拉罕部落是因为水源等原因被驱赶离开的两河流域，而在这一过程中，亚伯拉罕通过上帝这个只存在他脑海中的神明而维护了自身",真_琉璃,2021-06-17 17:00,109.0
107,英国这个国家真的是离谱， 他在一战过程中凭什么把别国领地划出一部分给犹太人啊,叫我放哥,2021-06-17 11:01,100.0
108,看过的最好的历史普及竟然来自影视区up主，简直不可思议。为up充电。,noneli,2021-06-16 19:01,133.0
109,总结一局大嘤帝国=搅SHI棍。,混迹哔哩的宇智波佐助,2021-06-16 21:09,76.0
110,都在看啊，中国人这学习精神，吃个国际瓜都得吃明白，一起补习来了,それが愛でしょう,2023-10-13 20:32,74.0
111,有生之年还能看到夸纳粹大屠杀的…...牛,LONGLIVEDORIS,2023-10-10 09:31,52.0
112,弹幕“他们的神都是女娲造的”好家伙，一边骂韩国人一边做韩国人,ChiilBoiiii,2021-06-19 18:15,691.0
113,有个犹太人很饿很饿，忽然一个路人甲很同情他给他了一个面包，但是犹太人不会感激这个路人甲的，他只会感谢上帝，让他遇到了一个给他面包的人。这就是犹太人！这就是他们的信仰！,公知洋奴不得好死,2023-10-12 14:01,82.0
114,"我读小学的时候，会看家里的报纸，每次都有一个无聊的板面，写着巴以冲突，那会我就会想，现在这个世界还有打仗？？觉得枯燥无味，基本就看个标题就不看了。
直到长大了，才知道和平是这么不容易，感恩我们的国家。",小舞舞同学,2023-10-14 22:10,39.0
115,这些信教的都挺憨的，有人帮助了他们，他们不是感激帮助者，而是感激神，并说这是神的旨意,糖糖爱薯片,2023-10-10 08:59,84.0
116,当你讲三教极简史的时候，我就预感到你会有讲巴以冲突一天，呱,一虚百患,2021-06-16 18:02,55.0
117,转换成饭圈文化的话，那就是论线上卖惨空瓶以及线下抢旗圈地的重要性,Erinrin姐姐,2023-10-10 08:55,73.0
118,这个笔记功能挺好，我想说几句，现在的以色列和巴勒斯坦地区，在以色列建国之前，根本就没有任何主权国家存在，一战以前，它处于土耳其的统治之下，与土耳其作战的英...,宇航茶坊,2023-10-04 07:14,125.0
119,从我小学打到我现在30了还在打,心乱2021,2023-10-09 18:55,63.0
120,"我不知道类似的危机会持续多久，会不会有新的危机产生，但借此我想分享一位up在他视频里面的话，这段话让我印象深刻：

“人是群体性生命，不是孤狼寡虎，当人类再次面临全球化危j时，无论这次灾难是天灾还是人祸，没有任何一个g家，m族可以各自为政，单枪匹马应对。

此情此景，我想我们现代人类更急需找回拥有源自东方文化的同呼吸共命运的公心！”

内容摘自视频：公心",当自强_,2023-10-09 18:00,1647.0
121,"宇宙法则
先论强弱
在论对错",おきた冲田そうじ总司,2023-10-11 11:24,56.0
122,巴以真的是从报纸打到收音机，再打到黑白电视机、彩色电视机、液晶电视，拨号上网，一直打到智能手机和移动互联网,司空远,2023-10-09 13:27,3835.0
123,大使馆和办事处我还是分的清的,可莉不知道吖,2023-10-09 19:23,205.0
124,三分钟看懂几代人的苦难,夜行者小黑,2023-10-08 17:44,1888.0
125,"我国的态度一直是67年线、两国方案，结果当时苏东和阿拉伯都骂我们怂。等到苏联解体、阿拉伯战败，又觉得我国的态度是中立。现在又说我国这态度是强硬。

其实我国的态度一直都没变，只不过阿拉伯一败再败，不断降低底线。",快吃快吃,2023-10-09 10:22,4369.0
126,国家的态度就是人民的的态度,阳暖向心,2023-10-09 22:07,52.0
127,"真正的星辰大海就在眼前，可人类的目光总是短浅而无知。
或许这就是人性，只能看见自己的生存与繁衍，其他的都需要靠边站。
不过我相信总有一天，人类会团结起来，共同迈向星空。
这将是我们这一代，下一代，乃至之后的人们，共同奋斗的目标。",以吾箭铸汝魂,2023-10-14 13:35,317.0
128,激进的行为不应该叫左翼嘛，有人科普一下嘛,XiaoJival,2023-10-11 11:24,414.0
129,呼吁和平但不干涉，至于人质应该积极协商解救。,宁泽emmmmm,2023-10-09 07:20,41.0
130,峰哥什么时候去中东拍视频,道折子,2023-10-09 02:32,269.0
131,"没有和平的时代，只有和平的国家。
感谢为我们国家付出努力和贡献的所有人，
让我们生活在和平伟大的中国🇨🇳",镇魂小小将,2023-10-10 16:21,67.0
132,要是局座来讲在好不过了,荣华绝代,2023-10-09 22:16,32.0
133,神降下了应许之弹（对面的神）,销醉茉莉蜜,2023-10-09 05:39,223.0
134,正义与邪恶，这片天地最终由那种秩序统治还是看谁的火力更强，别的都没什么用。,弦随心舞,2023-10-09 09:39,136.0
135,真的感谢自1840年以来所有为国奉献的英雄们，没有他们，没有现在军事实力强大的中国,S是道友不是贫道M,2023-10-09 13:07,803.0
136,这位牛先生会不会是抖音的牛弹琴呢,好大喜功i,2023-10-08 22:30,31.0
137,"战争是否是人类身上抹不去的那道诅咒?
和平是千百年来人类倾尽心血而做成的诗篇。它用信仰和虔诚做基调，用血肉和苦泪做注脚，用心愿和向往来吟诵，每个人都是它的文字。如今，战火却将它扔进焚坑里，那些历史辉煌、人文璀璨、古迹遗产都随它一起被烧成灰烬。然后数不清的尸骨再将这些坟坑填满，等秋风吹起萧瑟凄冷的号角，一齐腐草为萤。就这样，那些痛苦和惊魂变成尘土，将坑洼的大地整齐，再也看不出异端。就如同今天这一般，忘掉了曾经......",林泉静默,2023-10-14 19:39,15.0
138,刚从学校放出来，世界不太太平啊,星辰寒鴉,2023-10-14 19:00,14.0
139,从我小学打到我现在30了还在打,心乱2021,2023-10-09 18:55,63.0
140,"我不知道类似的危机会持续多久，会不会有新的危机产生，但借此我想分享一位up在他视频里面的话，这段话让我印象深刻：

“人是群体性生命，不是孤狼寡虎，当人类再次面临全球化危j时，无论这次灾难是天灾还是人祸，没有任何一个g家，m族可以各自为政，单枪匹马应对。

此情此景，我想我们现代人类更急需找回拥有源自东方文化的同呼吸共命运的公心！”

内容摘自视频：公心",当自强_,2023-10-09 18:00,1647.0
141,"宇宙法则
先论强弱
在论对错",おきた冲田そうじ总司,2023-10-11 11:24,56.0
142,巴以真的是从报纸打到收音机，再打到黑白电视机、彩色电视机、液晶电视，拨号上网，一直打到智能手机和移动互联网,司空远,2023-10-09 13:27,3835.0
143,大使馆和办事处我还是分的清的,可莉不知道吖,2023-10-09 19:23,205.0
144,三分钟看懂几代人的苦难,夜行者小黑,2023-10-08 17:44,1888.0
145,"我国的态度一直是67年线、两国方案，结果当时苏东和阿拉伯都骂我们怂。等到苏联解体、阿拉伯战败，又觉得我国的态度是中立。现在又说我国这态度是强硬。

其实我国的态度一直都没变，只不过阿拉伯一败再败，不断降低底线。",快吃快吃,2023-10-09 10:22,4369.0
146,国家的态度就是人民的的态度,阳暖向心,2023-10-09 22:07,52.0
147,"真正的星辰大海就在眼前，可人类的目光总是短浅而无知。
或许这就是人性，只能看见自己的生存与繁衍，其他的都需要靠边站。
不过我相信总有一天，人类会团结起来，共同迈向星空。
这将是我们这一代，下一代，乃至之后的人们，共同奋斗的目标。",以吾箭铸汝魂,2023-10-14 13:35,317.0
148,激进的行为不应该叫左翼嘛，有人科普一下嘛,XiaoJival,2023-10-11 11:24,414.0
149,呼吁和平但不干涉，至于人质应该积极协商解救。,宁泽emmmmm,2023-10-09 07:20,41.0
150,峰哥什么时候去中东拍视频,道折子,2023-10-09 02:32,269.0
151,"没有和平的时代，只有和平的国家。
感谢为我们国家付出努力和贡献的所有人，
让我们生活在和平伟大的中国🇨🇳",镇魂小小将,2023-10-10 16:21,67.0
152,要是局座来讲在好不过了,荣华绝代,2023-10-09 22:16,32.0
153,神降下了应许之弹（对面的神）,销醉茉莉蜜,2023-10-09 05:39,223.0
154,正义与邪恶，这片天地最终由那种秩序统治还是看谁的火力更强，别的都没什么用。,弦随心舞,2023-10-09 09:39,136.0
155,真的感谢自1840年以来所有为国奉献的英雄们，没有他们，没有现在军事实力强大的中国,S是道友不是贫道M,2023-10-09 13:07,803.0
156,这位牛先生会不会是抖音的牛弹琴呢,好大喜功i,2023-10-08 22:30,31.0
